created_at	source	entities	id	public_metrics	author_id	text
2022-02-03 00:08:30+00:00	Twitter Web App	{'annotations': [{'start': 59, 'end': 76, 'probability': 0.5995, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 30, 'username': 'ericsson', 'id': '19017255'}]}	1489027984392880129	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	RT @Aushiker: Hello, @ericsson your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science d…
2022-02-03 01:42:23+00:00	Twitter Web App	{'annotations': [{'start': 25, 'end': 41, 'probability': 0.9418, 'type': 'Person', 'normalized_text': 'Peter Van Onselen'}, {'start': 59, 'end': 67, 'probability': 0.8619, 'type': 'Organization', 'normalized_text': 'News Corp'}, {'start': 115, 'end': 121, 'probability': 0.4846, 'type': 'Person', 'normalized_text': 'Murdoch'}, {'start': 235, 'end': 237, 'probability': 0.7072, 'type': 'Organization', 'normalized_text': 'ABC'}], 'hashtags': [{'start': 253, 'end': 260, 'tag': 'Auspol'}, {'start': 261, 'end': 284, 'tag': 'MurdochRoyalCommission'}], 'urls': [{'start': 285, 'end': 308, 'url': 'https://t.co/heLd3d31hz', 'expanded_url': 'https://twitter.com/slpng_giants_oz/status/1489051608189382656/photo/1', 'display_url': 'pic.twitter.com/heLd3d31hz'}]}	1489051608189382656	{'retweet_count': 40, 'reply_count': 2, 'like_count': 119, 'quote_count': 0}	896166389332848640	"The legal action against Peter Van Onselen (a columnist at News Corp) was a mere by line, given about 250 words in Murdoch's Australian.

Just pause for a moment &amp; imagine the furore if similar accusations had been levelled against an ABC employee

#Auspol #MurdochRoyalCommission https://t.co/heLd3d31hz"
2022-02-03 01:58:48+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 11, 'username': 'bigchefjay', 'id': '1469648886'}]}	1489055739394277377	{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}	896166389332848640	@bigchefjay Surely doesnt meet ethical standards
2022-02-03 02:09:32+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 11, 'username': 'bigchefjay', 'id': '1469648886'}]}	1489058439959842819	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	896166389332848640	@bigchefjay EEEK lock the doors bar the windows the lawyers will be knocking 😳😂
2022-02-03 02:26:50+00:00	Twitter Web App	{'hashtags': [{'start': 255, 'end': 262, 'tag': 'Auspol'}, {'start': 264, 'end': 283, 'tag': 'ScottytheBumPuppet'}], 'urls': [{'start': 284, 'end': 307, 'url': 'https://t.co/gJqQT0etbI', 'expanded_url': 'https://twitter.com/slpng_giants_oz/status/1489062793953542144/photo/1', 'display_url': 'pic.twitter.com/gJqQT0etbI'}]}	1489062793953542144	{'retweet_count': 11, 'reply_count': 6, 'like_count': 35, 'quote_count': 0}	896166389332848640	"Well done to the Australian Council for the Arts for daring to step outside the constraints of the censorship police, who as usual scream freedom of speech unless they dont approve.

Murdoch &amp; the IPA clutching their pearls over the important stuff.

#Auspol  #ScottytheBumPuppet https://t.co/gJqQT0etbI"
2022-02-03 06:02:24+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 13, 'username': 'MonoHighBrow', 'id': '506632418'}]}	1489117042750160896	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	@MonoHighBrow EXACTLY
2022-02-03 06:06:30+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 15, 'username': 'ScreamingSofia', 'id': '458767647'}]}	1489118074855096325	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	@ScreamingSofia Me too
2022-02-03 06:14:13+00:00	Twitter Web App	{'mentions': [{'start': 0, 'end': 12, 'username': 'rowanvinski', 'id': '4129578913'}, {'start': 13, 'end': 24, 'username': 'bigchefjay', 'id': '1469648886'}, {'start': 25, 'end': 38, 'username': 'BethanyinCBR', 'id': '1060338999611420672'}]}	1489120019363799041	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	896166389332848640	@rowanvinski @bigchefjay @BethanyinCBR Brilliant
2022-02-03 08:02:31+00:00	Twitter Web App	{'annotations': [{'start': 0, 'end': 8, 'probability': 0.9927, 'type': 'Person', 'normalized_text': 'Jane Hume'}, {'start': 13, 'end': 19, 'probability': 0.3888, 'type': 'Person', 'normalized_text': 'Murdoch'}, {'start': 209, 'end': 221, 'probability': 0.702, 'type': 'Organization', 'normalized_text': 'Liberal Party'}], 'hashtags': [{'start': 248, 'end': 255, 'tag': 'Auspol'}, {'start': 256, 'end': 274, 'tag': 'LiberalHypocrites'}], 'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/j5d4F7i2m7', 'expanded_url': 'https://twitter.com/slpng_giants_oz/status/1489147273833762816/photo/1', 'display_url': 'pic.twitter.com/j5d4F7i2m7'}]}	1489147273833762816	{'retweet_count': 26, 'reply_count': 7, 'like_count': 98, 'quote_count': 1}	896166389332848640	"Jane Hume on Murdoch's Sky News moaning and bitching about Climate 200 donors - claiming they are all trust fund babies - then whining that Climate 200 candidates are not disclosing their donors.

Because the Liberal Party do that so well - NOT‼️

#Auspol #LiberalHypocrites https://t.co/j5d4F7i2m7"
2022-02-03 23:39:05+00:00	Twitter Web App	{'annotations': [{'start': 81, 'end': 90, 'probability': 0.9939, 'type': 'Person', 'normalized_text': 'Alan Jones'}, {'start': 94, 'end': 100, 'probability': 0.4975, 'type': 'Product', 'normalized_text': 'YouTube'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 32, 'username': 'AMCPlusANZ', 'id': '1448242387306917888'}]}	1489382965432168451	{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	896166389332848640	RT @Aushiker: Hello, @AMCPlusANZ I suggest it is time to rethink your support of Alan Jones's YouTube channel. This is saying a lot about y…
