created_at	entities	source	public_metrics	id	text	author_id
2022-01-07 09:54:45+00:00	{'urls': [{'start': 235, 'end': 258, 'url': 'https://t.co/2REB7nZzEE', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1479391042906566656/photo/1', 'display_url': 'pic.twitter.com/2REB7nZzEE'}], 'hashtags': [{'start': 56, 'end': 72, 'tag': 'StopFundingHate'}], 'annotations': [{'start': 17, 'end': 25, 'probability': 0.7361, 'type': 'Organization', 'normalized_text': 'Telegraph'}, {'start': 100, 'end': 112, 'probability': 0.546, 'type': 'Organization', 'normalized_text': 'CIC Regulator'}]}	Twitter Web App	{'retweet_count': 12, 'reply_count': 2, 'like_count': 45, 'quote_count': 0}	1479391042906566656	"Not long ago the Telegraph ran an article claiming that #StopFundingHate had been ""summoned"" by the CIC Regulator. In reality we'd received no such communication, and the complaints made against Stop Funding Hate were not upheld... /1 https://t.co/2REB7nZzEE"	754604381048344576
2022-01-07 09:56:28+00:00	{'urls': [{'start': 140, 'end': 163, 'url': 'https://t.co/xhW4CsYCxn', 'expanded_url': 'https://www.theguardian.com/media/2022/jan/07/gb-news-accused-of-prejudicing-colston-four-trial?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1641536040', 'display_url': 'theguardian.com/media/2022/jan…'}], 'annotations': [{'start': 41, 'end': 49, 'probability': 0.7932, 'type': 'Organization', 'normalized_text': 'Telegraph'}, {'start': 75, 'end': 81, 'probability': 0.7632, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter Web App	{'retweet_count': 20, 'reply_count': 3, 'like_count': 56, 'quote_count': 0}	1479391478514393088	So it will be interesting to see whether Telegraph now make any mention of GB News *actually* being summoned to court over its coverage? /2 https://t.co/xhW4CsYCxn	754604381048344576
2022-01-07 10:25:12+00:00	{'mentions': [{'start': 3, 'end': 10, 'username': 'scobie', 'id': '15063044'}], 'annotations': [{'start': 74, 'end': 93, 'probability': 0.4955, 'type': 'Other', 'normalized_text': 'Duchess of Cambridge'}]}	Twitter Web App	{'retweet_count': 708, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479398708693377025	RT @scobie: I don't understand this constant need to use op-eds about the Duchess of Cambridge's 40th to sling mud at women that have nothi…	754604381048344576
2022-01-07 10:34:23+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'DruidJon', 'id': '2434110376'}, {'start': 14, 'end': 30, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 31, 'end': 41, 'username': 'y_gigfran', 'id': '2974805145'}, {'start': 42, 'end': 48, 'username': 'SkyUK', 'id': '20139563'}, {'start': 49, 'end': 63, 'username': 'MoneySupermkt', 'id': '15232850'}, {'start': 64, 'end': 80, 'username': 'GinTing_RumTing', 'id': '936598886109667328'}, {'start': 81, 'end': 96, 'username': 'Ragingbullbilt', 'id': '958749298916839424'}, {'start': 97, 'end': 112, 'username': 'thegoldbullion', 'id': '57283076'}, {'start': 113, 'end': 126, 'username': 'Goldreserves', 'id': '239824879'}]}	Twitter Web App	{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479401017338966019	RT @DruidJon: @StopFundingHate @y_gigfran @SkyUK @MoneySupermkt @GinTing_RumTing @Ragingbullbilt @thegoldbullion @Goldreserves @Dyfed_Telec…	754604381048344576
2022-01-07 10:43:01+00:00	{'mentions': [{'start': 3, 'end': 10, 'username': 'Sweder', 'id': '20449115'}, {'start': 34, 'end': 48, 'username': 'MoneySupermkt', 'id': '15232850'}]}	Twitter Web App	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479403189938139138	RT @Sweder: Really shocked to see @MoneySupermkt listed here. Surely some mistake?	754604381048344576
2022-01-07 12:01:07+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}], 'hashtags': [{'start': 77, 'end': 93, 'tag': 'StopFundingHate'}], 'annotations': [{'start': 38, 'end': 46, 'probability': 0.7541, 'type': 'Organization', 'normalized_text': 'Telegraph'}, {'start': 121, 'end': 133, 'probability': 0.4235, 'type': 'Organization', 'normalized_text': 'CIC Regulator'}]}	Twitter for Android	{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479422845272924166	"RT @StopFundingHate: Not long ago the Telegraph ran an article claiming that #StopFundingHate had been ""summoned"" by the CIC Regulator. In…"	754604381048344576
2022-01-07 12:01:13+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}], 'annotations': [{'start': 62, 'end': 70, 'probability': 0.7596, 'type': 'Organization', 'normalized_text': 'Telegraph'}, {'start': 96, 'end': 102, 'probability': 0.7634, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter for Android	{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479422871864844291	RT @StopFundingHate: So it will be interesting to see whether Telegraph now make any mention of GB News *actually* being summoned to court…	754604381048344576
2022-01-07 13:50:54+00:00	{'mentions': [{'start': 72, 'end': 78, 'username': 'SkyUK', 'id': '20139563'}, {'start': 85, 'end': 99, 'username': 'MoneySupermkt', 'id': '15232850'}], 'urls': [{'start': 128, 'end': 151, 'url': 'https://t.co/Lfe7x25rvF', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1479450472733945861/photo/1', 'display_url': 'pic.twitter.com/Lfe7x25rvF'}, {'start': 152, 'end': 175, 'url': 'https://t.co/eeVzH1QKGS', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1479192023026610179', 'display_url': 'twitter.com/StopFundingHat…'}]}	Twitter Web App	{'retweet_count': 29, 'reply_count': 1, 'like_count': 77, 'quote_count': 3}	1479450472733945861	Amid a deadly ongoing pandemic, is this really the kind of message that @SkyUK &amp; @MoneySupermkt want to be associated with? https://t.co/Lfe7x25rvF https://t.co/eeVzH1QKGS	754604381048344576
2022-01-07 14:01:15+00:00	{'mentions': [{'start': 3, 'end': 18, 'username': 'pauldegregorio', 'id': '18871154'}], 'annotations': [{'start': 112, 'end': 118, 'probability': 0.3778, 'type': 'Product', 'normalized_text': 'GB News'}]}	Twitter Web App	{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479453077912621061	"RT @pauldegregorio: Where you advertise is a statement on what your brand supports.

I still see Charity ads on GB News. 

And every time I…"	754604381048344576
2022-01-07 18:19:49+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}], 'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/4EgGkpBnMm', 'expanded_url': 'https://twitter.com/StopFundingHate/status/1472181527463223301/photo/1', 'display_url': 'pic.twitter.com/4EgGkpBnMm'}], 'annotations': [{'start': 33, 'end': 39, 'probability': 0.8985, 'type': 'Organization', 'normalized_text': 'GB News'}]}	Twitter Web App	{'retweet_count': 35, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479518150039326721	RT @StopFundingHate: For months, GB News has been pushing out messages like this - and now here we are... https://t.co/4EgGkpBnMm	754604381048344576
